Cluster ID,ln,dob,gn,fn
12,SMITH JR,01/03/68,F,WILLIAM
13,ROTHMEYER JR,01/03/68,F,WILLIAM
14,ASBY JR,01/03/68,F,WILLIAM
15,SALTER JR,01/03/68,F,WILLIAM
16,SALTER JR,01/03/68,F,WILLIAM
3,BLAND JR,21/02/62,F,WILLIAM
3,BLAND JR,21/02/62,F,WILLIAM
3,BLAND JR,21/02/62,F,WILLIAM
17,SHAFFER JR,21/02/62,F,WILLIAM
18,SHAFFER JR,21/02/62,F,WILLIAM
3,BLAND III,21/02/62,F,WILLIAM
19,BLAND JR,21/02/62,F,BILL
3,BLAND,21/02/62,F,WILLIAM
3,BLAND JR,21/02/62,F,WILLIAM
20,BLAND JR,08/06/54,F,WILLIAM
21,BLAND JR,08/06/54,F,WILLIAM
22,BLAND JR,25/10/53,F,WILLIAM
23,BLAND JR,25/10/53,F,WILLIAM
24,SHAFFER JR,25/10/53,F,WILLIAM
8,DUNCAN JR,25/10/53,F,THOMAS
9,CARLSON JR,25/10/53,F,ROY
9,CARLSON JR,25/10/53,F,RON
8,DUNCAN JR,25/10/53,F,ROY
5,MICHAELSON,25/10/53,M,ROY
5,MICHAELSON JR,25/10/53,M,ROY
5,MICHAELSON,25/10/53,M,ROY
5,MICHAELSON JR,25/10/53,M,ROY
25,MICHAELSON JR,01/05/51,M,ROY
26,MICHAELSON JR,17/06/48,M,ROY
27,MICHAELSON JR,17/06/48,M,ROY
11,MICHAELSON JR,09/04/47,M,ROY
11,MICHAELSON JR,09/04/47,M,ROBERT
28,MICHAELSON JR,09/04/47,M,BOB
1,MUSTAPHA JR,11/03/47,M,OWEN
1,MUSTAPHA JR,11/03/47,M,OWAN
29,HOUGHTON JR,31/01/46,M,LAWRENCE
30,HOUGHTON JR,31/01/46,M,LAWRENCE
31,HOUGHTON JR,31/01/46,M,LAWRENCE
4,LIND JR,31/01/46,M,LAWRENCE
4,LIND JR,31/01/46,M,LAWRENCE
4,LIND JR,31/01/46,M,KENNETH
4,LIND JR,31/01/46,M,KENNETH
32,LIND JR,20/01/46,M,JOHN
33,CAIN JR,20/01/46,M,JOHN
34,CLARK,09/06/45,M,JOHN
6,CLARK,09/02/45,M,RONALD
6,CLARK,09/02/45,M,DONALD
7,CLARK,16/12/44,M,JOHN
7,CLARK JR,16/12/44,M,JOHN
7,CLARK JR,16/12/44,M,JOHN
35,MICHAELSON JR,16/12/44,M,JOHN
36,MICHAELSON JR,16/12/44,M,JOHN
37,MICHAELSON JR,16/12/44,M,JOHN
38,MICHAELSON JR,24/04/40,M,JOHN
39,MICHAELSON JR,24/04/40,M,JOHN
40,MICHAELSON JR,24/06/39,M,JOHN
41,MICHAELSON JR,24/06/39,M,JOHN
42,MICHAELSON JR,24/06/39,M,JOHN
43,MICHAELSON JR,24/06/39,M,JAMES
44,MICHAELSON JR,24/06/39,M,JAMES
45,MICHAELSON JR,24/06/39,M,JACK
46,MICHAELSON JR,09/06/39,M,JACK
47,LARSON JR,09/06/39,M,HAROLD
48,LARSON JR,09/06/39,M,HAROLD
49,MUSTAPHA JR,07/10/37,M,HAROLD
50,HOUGHTON JR,07/10/37,M,HAROLD
51,MELVIN JR,07/10/37,M,HAROLD
52,MELVIN JR,07/10/37,M,HAROLD
53,MELVIN JR,07/10/37,M,HAROLD
54,MELVIN JR,07/10/37,M,HAROLD
55,MELVIN JR,07/10/37,M,HAROLD
56,MELVIN JR,07/10/37,M,HAROLD
57,MELVIN JR,07/10/37,M,HAROLD
58,MELVIN JR,07/10/37,M,HAROLD
59,MELVIN JR,07/10/37,M,HAROLD
60,CHAVAS JR,07/10/37,M,HAROLD
61,CHAVAS JR,07/10/37,M,HAROLD
62,CHAVAS JR,07/10/37,M,HAROLD
63,CHAVAS JR,07/10/37,M,HAROLD
64,MICHAELSON JR,07/10/37,M,HAROLD
65,MICHAELSON JR,07/10/37,M,HAROLD
66,SMITH JR,07/10/37,M,HAROLD
67,CHAVAS JR,07/10/37,M,HAROLD
68,CHAVAS JR,07/10/37,M,HAROLD
0,FAGEN JR,07/10/37,M,HAROLD
0,FAGEN JR,07/10/37,M,HAROLD
0,FAGEN JR,07/10/37,M,GEORGE
69,GRIFFIN JR,07/10/37,M,DARH
70,GRIFFIN JR,10/07/37,M,DARL
71,GRIFFIN JR,07/05/37,M,DARL
72,GRIFFIN JR,07/05/37,M,CLIFFORD
73,GRIFFIN JR,07/05/37,M,CLIFFORD
74,GRIFFIN JR,07/05/37,M,CLIFFORD
75,GRIFFIN JR,07/05/37,M,CLARENCE
10,HANNA,24/11/34,M,ADDISON J
10,HANNA,24/11/34,M,ADDISON JOHN
10,HANNA,24/11/34,M,ADDISON
10,HANNA,24/11/34,M,ADDISON
10,HANNA,24/11/34,M,ADDISON
76,GALETICH JR,15/10/32,M,ADDISON
2,FUNARO JONES,06/12/37,F,HARRIET
2,FUNARO J,06/12/37,F,HARRIET
2,FUNARO,06/12/37,F,HARRIET
